Gene_name	Multiplicity	Frequency
IGHV1-18	231	0.0231
IGHV1-2	755	0.0755
IGHV1-24	208	0.0208
IGHV1-3	73	0.0073
IGHV1-46	371	0.0371
IGHV1-58	1	0.0001
IGHV1-69	214	0.0214
IGHV1-8	14	0.0014
IGHV1-NL1	2	0.0002
IGHV2-26	15	0.0015
IGHV2-5	121	0.0121
IGHV2-70	88	0.0088
IGHV2-70D	27	0.0027
IGHV3-11	92	0.0092
IGHV3-13	121	0.0121
IGHV3-15	732	0.0732
IGHV3-20	52	0.0052
IGHV3-21	465	0.0465
IGHV3-23	971	0.0971
IGHV3-30	891	0.0891
IGHV3-30-3	181	0.0181
IGHV3-33	176	0.0176
IGHV3-43	61	0.0061
IGHV3-48	199	0.0199
IGHV3-49	86	0.0086
IGHV3-53	133	0.0133
IGHV3-64	22	0.0022
IGHV3-64D	31	0.0031
IGHV3-66	412	0.0412
IGHV3-69-1	5	0.0005
IGHV3-7	771	0.0771
IGHV3-72	74	0.0074
IGHV3-73	10	0.001
IGHV3-74	67	0.0067
IGHV3-9	70	0.007
IGHV3-NL1	7	0.0007
IGHV4-30-2	16	0.0016
IGHV4-30-4	125	0.0125
IGHV4-31	103	0.0103
IGHV4-34	317	0.0317
IGHV4-38-2	91	0.0091
IGHV4-39	347	0.0347
IGHV4-4	187	0.0187
IGHV4-55	1	0.0001
IGHV4-59	557	0.0557
IGHV4-61	82	0.0082
IGHV5-10-1	140	0.014
IGHV5-51	220	0.022
IGHV6-1	47	0.0047
IGHV7-81	18	0.0018
